quantity,price_paid_deal,price_paid_non_deal,coupon_value,promotion_type,total_spent,size1_descr,flavor_descr,formula_descr,household_id,household_size,household_income,age_of_female_head,age_of_male_head,age_and_presence_of_children,male_head_employment,female_head_employment,male_head_education,female_head_education,marital_status,male_head_occupation,female_head_occupation,household_composition,race,hispanic_origin,region,scantrack_market_identifier,projection_factor,fips_state_code,fips_county_code,census_tract_county_code,type_of_residence,kitchen_appliances,tv_items,female_head_birth,male_head_birth,household_internet_connection
1,4,0,0.95,2,33.68,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2002721,1,13,6,0,9,0,3,0,3,2,8,8,5,1,2,2,2,2019,17,43,844800,6,1,2,10/1/59,,2
1,0,2.99,0,,39.13,16.0 MLOZ,CHERRY GRCA,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,1021,13,135,50603,1,4,1,10/1/68,10/1/68,1
1,0,2.5,0,,14.83,16.0 MLOZ,CHERRY GRCA,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,1021,13,135,50603,1,4,1,10/1/68,10/1/68,1
1,2.27,0,0,1,22.53,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,1021,13,135,50603,1,4,1,10/1/68,10/1/68,1
1,2.55,0,0,1,18.67,16.0 MLOZ,BANANA SPLIT,REGULAR,2000358,2,27,8,8,9,3,9,6,6,1,2,12,1,1,1,1,52,234,36,7,20300,1,7,3,1/1/48,10/1/48,2
1,2.56,0,0,1,18.67,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,2000358,2,27,8,8,9,3,9,6,6,1,2,12,1,1,1,1,52,234,36,7,20300,1,7,3,1/1/48,10/1/48,2
1,0,3.19,0,,67.9,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2000571,1,21,7,0,9,0,9,0,5,4,12,12,5,1,2,1,52,1656,36,67,10700,1,7,2,10/1/55,,1
1,0,3.64,0,,59.78,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2000818,1,15,0,8,9,9,0,5,0,4,12,,7,1,2,2,4,2285,18,97,330205,1,7,3,,10/1/45,2
2,12,0,0,1,24.78,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2000860,2,23,8,0,9,0,3,0,5,2,1,1,2,4,2,2,19,1369,26,145,2100,1,7,3,10/1/43,,1
2,12,0,0,1,39.91,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2000860,2,23,8,0,9,0,3,0,5,2,1,1,2,4,2,2,19,1369,26,145,2100,1,7,3,10/1/43,,1
2,12,0,0,1,33.25,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2000860,2,23,8,0,9,0,3,0,5,2,1,1,2,4,2,2,19,1369,26,145,2100,1,7,3,10/1/43,,1
1,0,4.19,0,,21.11,16.0 MLOZ,COFFEE,REGULAR,2001278,2,15,8,9,9,9,9,5,5,1,12,12,1,1,2,1,52,234,36,45,61800,1,7,2,10/1/44,10/1/41,1
1,0,2.79,0,,23.2,16.0 MLOZ,CHERRY GRCA,REGULAR,2003611,2,27,5,8,9,1,3,4,4,4,2,2,8,1,2,2,2,301,17,111,870704,1,4,2,10/1/65,10/1/52,2
1,3.99,0,3.99,3,54.23,16.0 MLOZ,CHC CHIP C-DH,LIGHT HALF THE FAT,2004690,5,26,5,7,6,2,1,6,3,1,1,3,1,1,2,2,21,512,55,101,1301,1,7,1,10/1/65,1/1/56,1
1,2.49,0,0,1,50.09,16.0 MLOZ,CHC CHIP C-DH,REGULAR,2004997,5,30,6,7,3,3,1,5,5,1,2,1,1,1,2,1,10,2362,34,25,810002,1,4,3,10/1/58,10/1/57,1
1,2.99,0,0,1,19.46,16.0 MLOZ,PB CUP,REGULAR,2004997,5,30,6,7,3,3,1,5,5,1,2,1,1,1,2,1,10,2362,34,25,810002,1,4,3,10/1/58,10/1/57,1
1,2.49,0,0,1,50.09,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,2004997,5,30,6,7,3,3,1,5,5,1,2,1,1,1,2,1,10,2362,34,25,810002,1,4,3,10/1/58,10/1/57,1
1,3,0,0,1,11.47,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,3657,34,3,26200,1,7,2,10/1/42,10/1/24,1
2,0,7.98,0,,76.37,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
1,0,3.99,0,,84.33,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
1,0,3.99,0,,67.35,16.0 MLOZ,IMAGINE WHIRLED PEACE,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
1,3.66,0,0,1,61.83,16.0 MLOZ,VERMONTY PYTHON,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
2,3.98,0,0,1,51.12,16.0 MLOZ,CINNAMON BUNS,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
1,0,3.99,0,,84.33,16.0 MLOZ,MINT CHC CHUNK,REGULAR,2002791,3,21,9,9,9,9,9,5,3,1,12,12,1,1,2,3,14,1386,13,59,130400,1,7,3,10/1/29,10/1/27,1
1,0,4.15,0,,32.87,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,3058,24,3,707002,1,7,3,10/1/64,,1
1,0,3.59,0,,95.83,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2000860,2,23,8,0,9,0,3,0,5,2,1,1,2,4,2,2,19,1369,26,145,2100,1,7,3,10/1/43,,1
2,0,5,0,,20.12,16.0 MLOZ,AMERICONE DREAM,REGULAR,2002466,1,23,8,0,9,0,3,0,4,4,1,1,5,1,2,2,,2663,31,79,900,1,7,1,1/1/48,,2
1,1.99,0,0,1,57.24,16.0 MLOZ,KARAMEL SUTRA,REGULAR,2002466,1,23,8,0,9,0,3,0,4,4,1,1,5,1,2,2,,2663,31,79,900,1,7,1,1/1/48,,2
1,3,0,0,1,31.74,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2002679,1,19,8,0,9,0,2,0,6,2,1,1,5,1,2,3,39,385,37,67,3904,1,7,2,10/1/45,,1
1,4.39,0,0,1,17.54,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2002679,1,19,8,0,9,0,2,0,6,2,1,1,5,1,2,3,39,385,37,67,3904,1,7,2,10/1/45,,1
1,0,4.38,0,,52.72,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2002679,1,19,8,0,9,0,2,0,6,2,1,1,5,1,2,3,39,385,37,67,3904,1,7,2,10/1/45,,1
1,3.34,0,0,1,38.17,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2002679,1,19,8,0,9,0,2,0,6,2,1,1,5,1,2,3,39,385,37,67,3904,1,7,2,10/1/45,,1
1,0,2.99,0,,146.05,16.0 MLOZ,CHERRY GRCA,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,1021,13,135,50603,1,4,1,10/1/68,10/1/68,1
2,7.04,0,2,3,103.35,16.0 MLOZ,CHERRY GRCA,REGULAR,2002800,4,27,4,5,6,3,9,5,5,1,2,12,1,1,2,3,14,1021,13,135,50603,1,4,1,10/1/68,10/1/68,1
1,3,0,1.49,2,62.54,16.0 MLOZ,NEW YORK SUPER FUDGE CHUNK,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,6323,24,5,401101,1,7,1,10/1/54,,1
1,3.2,0,1.49,2,62.54,16.0 MLOZ,CAKE BATTER,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,6323,24,5,401101,1,7,1,10/1/54,,1
1,3.25,0,0.99,2,59.7,16.0 MLOZ,CHERRY GRCA,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,6323,24,5,401101,1,7,1,10/1/54,,1
1,3.5,0,0.99,2,40.87,16.0 MLOZ,PHISH FOOD,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,6323,24,5,401101,1,7,1,10/1/54,,1
1,3.99,0,0.5,2,98.92,16.0 MLOZ,MINT CHC CHUNK,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,6323,24,5,401101,1,7,1,10/1/54,,1
1,0,3.99,0,,155.23,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,3657,34,3,26200,1,7,2,10/1/42,10/1/24,1
1,0,3.12,0,,152.08,16.0 MLOZ,PHISH FOOD,LIGHT HALF THE FAT,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,3657,34,3,26200,1,7,2,10/1/42,10/1/24,1
1,3,0,0,1,11.47,16.0 MLOZ,CHERRY GRCA,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,3657,34,3,26200,1,7,2,10/1/42,10/1/24,1
4,0,10,0,,112.72,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,3657,34,3,26200,1,7,2,10/1/42,10/1/24,1
2,0,7.98,0,,155.23,16.0 MLOZ,CAKE BATTER,REGULAR,2005464,3,26,9,9,9,9,9,5,3,1,12,12,1,1,2,1,8,3657,34,3,26200,1,7,2,10/1/42,10/1/24,1
1,0,3.48,0,,23.48,16.0 MLOZ,MINT CHC CHUNK,REGULAR,2006317,2,27,6,6,9,3,3,6,6,1,2,2,1,1,1,3,42,2198,51,59,461100,1,7,1,10/1/62,10/1/61,2
1,3,0,0,1,63.06,16.0 MLOZ,CHC,REGULAR,2007097,2,21,9,0,9,0,9,0,4,2,12,12,2,1,2,3,42,4452,24,33,801405,1,5,2,10/1/27,,2
1,0,4.15,0,,26.45,16.0 MLOZ,VAN,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,3058,24,3,707002,1,7,3,10/1/64,,1
1,3,0,0,1,21.2,16.0 MLOZ,AMERICONE DREAM,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,3058,24,3,707002,1,7,3,10/1/64,,1
1,0,4.15,0,,36.1,16.0 MLOZ,VAN,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,3058,24,3,707002,1,7,3,10/1/64,,1
1,0,4.15,0,,34.53,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2003215,1,26,5,0,9,0,3,0,6,3,7,7,5,1,2,3,30,3058,24,3,707002,1,7,3,10/1/64,,1
1,2.79,0,0,1,83.42,16.0 MLOZ,KARAMEL SUTRA,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,4713,6,7,1701,7,4,3,1/1/40,10/1/40,2
1,2.79,0,0,1,111.24,16.0 MLOZ,KARAMEL SUTRA,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,4713,6,7,1701,7,4,3,1/1/40,10/1/40,2
1,2.64,0,0,1,63.5,16.0 MLOZ,HEATH COFFEE CRUNCH,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,4713,6,7,1701,7,4,3,1/1/40,10/1/40,2
1,3.08,0,0,1,63.06,16.0 MLOZ,VAN CARAMEL FUDGE,REGULAR,2007097,2,21,9,0,9,0,9,0,4,2,12,12,2,1,2,3,42,4452,24,33,801405,1,5,2,10/1/27,,2
1,2.99,0,0,1,28.22,16.0 MLOZ,CHC CHIP C-DH,REGULAR,2007171,1,23,8,0,9,0,3,0,4,2,1,1,5,1,2,2,2,301,17,31,813100,1,7,1,10/1/43,,1
1,3,0,0,1,245.07,16.0 MLOZ,VERMONTY PYTHON,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,3.1,0,0,1,312.45,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,3.19,0,0,1,312.45,16.0 MLOZ,HALF BAKED,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,3,0,0,1,245.07,16.0 MLOZ,NEAPOLITAN DYNAMITE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,0,3.25,0,,308.58,16.0 MLOZ,BROWNIE BATTER,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,0,4.59,0,,10.21,16.0 MLOZ,STR CSK,REGULAR,2003086,2,29,8,8,9,2,1,5,5,1,1,1,1,1,2,2,2,301,17,31,803300,1,1,2,10/1/44,10/1/43,2
2,7.28,0,0,4,23.46,16.0 MLOZ,AMERICONE DREAM,REGULAR,2003086,2,29,8,8,9,2,1,5,5,1,1,1,1,1,2,2,2,301,17,31,803300,1,1,2,10/1/44,10/1/43,2
1,2.5,0,0,1,70.2,16.0 MLOZ,CHERRY GRCA,REGULAR,2003463,2,21,8,8,9,3,3,6,6,1,2,1,1,1,2,3,14,296,13,45,990900,1,4,1,10/1/47,10/1/46,1
1,0,3,0,,53.24,16.0 MLOZ,CHERRY GRCA,REGULAR,2003463,2,21,8,8,9,3,3,6,6,1,2,1,1,1,2,3,14,296,13,45,990900,1,4,1,10/1/47,10/1/46,1
1,0,1.99,0,,80.98,16.0 MLOZ,AMERICONE DREAM,REGULAR,2003499,2,15,6,9,9,9,9,5,5,1,12,12,1,1,2,3,14,296,13,291,990202,1,7,2,10/1/58,10/1/38,2
1,0,3.49,0,,58.49,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,487,34,23,8504,6,4,2,10/1/58,,2
1,0,3.99,0,,32.02,16.0 MLOZ,OXFORD MINT CHC COOKIE,REGULAR,2004224,1,18,6,0,9,0,3,0,6,4,1,1,5,1,2,1,8,487,34,23,8504,6,4,2,10/1/58,,2
1,3.99,0,0.5,2,98.92,16.0 MLOZ,CHERRY GRCA,REGULAR,2003661,2,19,7,0,3,0,3,0,4,4,1,1,2,1,2,3,30,6323,24,5,401101,1,7,1,10/1/54,,1
1,3.99,0,0,1,133.76,16.0 MLOZ,PB CUP,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,7497,51,59,440200,1,7,2,10/1/62,,1
1,3.99,0,0,1,133.76,16.0 MLOZ,PHISH FOOD,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,7497,51,59,440200,1,7,2,10/1/62,,1
1,3.99,0,0,1,140.51,16.0 MLOZ,HALF BAKED,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,7497,51,59,440200,1,7,2,10/1/62,,1
1,3.99,0,0,1,140.51,16.0 MLOZ,OXFORD MINT CHC COOKIE,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,7497,51,59,440200,1,7,2,10/1/62,,1
1,3.42,0,0,1,81.87,16.0 MLOZ,PHISH FOOD,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,7497,51,59,440200,1,7,2,10/1/62,,1
1,3,0,2,3,81.87,16.0 MLOZ,PB CUP,REGULAR,2005104,3,26,6,0,3,0,3,0,5,3,1,1,2,1,2,3,42,7497,51,59,440200,1,7,2,10/1/62,,1
1,2.79,0,0,1,108.23,16.0 MLOZ,AMERICONE DREAM,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,4713,6,7,1701,7,4,3,1/1/40,10/1/40,2
1,2.79,0,0,1,95.5,16.0 MLOZ,CHERRY GRCA,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,4713,6,7,1701,7,4,3,1/1/40,10/1/40,2
1,2.79,0,0,1,111.24,16.0 MLOZ,PHISH FOOD,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,4713,6,7,1701,7,4,3,1/1/40,10/1/40,2
1,2.64,0,0,1,63.5,16.0 MLOZ,CHERRY GRCA,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,4713,6,7,1701,7,4,3,1/1/40,10/1/40,2
1,2.79,0,0,1,95.5,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2004756,3,23,9,9,9,9,9,3,3,1,12,12,1,1,2,4,,4713,6,7,1701,7,4,3,1/1/40,10/1/40,2
2,7,0,1,3,24.6,16.0 MLOZ,CINNAMON BUNS,REGULAR,2005579,3,21,8,8,9,3,1,4,3,1,8,8,1,1,2,3,30,299,24,510,270302,1,1,2,10/1/48,10/1/46,2
2,6,0,1,3,19.19,16.0 MLOZ,CHC CHIP C-DH,REGULAR,2005579,3,21,8,8,9,3,1,4,3,1,8,8,1,1,2,3,30,299,24,510,270302,1,1,2,10/1/48,10/1/46,2
2,6.92,0,0,1,14.78,16.0 MLOZ,PB CUP,REGULAR,2004463,3,21,7,8,3,9,3,5,3,1,12,1,1,2,2,3,42,2001,24,21,750300,3,3,3,10/1/57,10/1/50,1
4,4.5,0,1,3,24.98,16.0 MLOZ,CHERRY GRCA,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,301,17,31,420500,3,1,1,1/1/56,,2
2,2.25,0,0.5,3,29.54,16.0 MLOZ,CREME BRULEE,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,301,17,31,420500,3,1,1,1/1/56,,2
2,2.25,0,0.5,3,24.98,16.0 MLOZ,CHUNKY MONKEY,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,301,17,31,420500,3,1,1,1/1/56,,2
2,2.25,0,0.5,3,24.98,16.0 MLOZ,TRIPLE CARAMEL CHUNK,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,301,17,31,420500,3,1,1,1/1/56,,2
4,4.5,0,1,3,29.54,16.0 MLOZ,IMAGINE WHIRLED PEACE,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,301,17,31,420500,3,1,1,1/1/56,,2
2,2.25,0,0.5,3,29.54,16.0 MLOZ,BANANA SPLIT,REGULAR,2005016,1,16,7,0,9,0,1,0,6,4,2,2,5,2,2,2,2,301,17,31,420500,3,1,1,1/1/56,,2
1,0,2.49,0,,58.94,16.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,118,36,69,51500,1,2,1,10/1/44,,2
1,0,4.99,0,,11.41,32.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,118,36,69,51500,1,2,1,10/1/44,,2
1,0,4.99,0,,11.41,32.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,118,36,69,51500,1,2,1,10/1/44,,2
1,0,3.19,0,,6.18,16.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,118,36,69,51500,1,2,1,10/1/44,,2
1,0,4.99,0,,10.98,32.0 MLOZ,CHERRY GRCA,REGULAR,2000600,1,16,8,0,9,0,3,0,6,3,1,1,5,1,2,1,32,118,36,69,51500,1,2,1,10/1/44,,2
2,8.98,0,5.49,3,14.12,16.0 MLOZ,AMERICONE DREAM,REGULAR,2001331,1,17,9,0,9,0,9,0,4,2,12,12,5,1,2,1,24,2354,42,91,200104,1,4,1,10/1/22,,2
2,5.39,0,5.39,3,27.71,16.0 MLOZ,VAN,REGULAR,2001331,1,17,9,0,9,0,9,0,4,2,12,12,5,1,2,1,24,2354,42,91,200104,1,4,1,10/1/22,,2
1,3.34,0,0,1,37,16.0 MLOZ,HEATH CANDY EVERYTHING BUT THE,REGULAR,2001983,3,13,7,8,9,9,9,5,5,1,12,12,1,1,2,1,25,230,42,7,602500,1,4,2,10/1/53,10/1/48,2
1,0,3,0,,25.48,16.0 MLOZ,HEATH CANDY EVERYTHING BUT THE,REGULAR,2001983,3,13,7,8,9,9,9,5,5,1,12,12,1,1,2,1,25,230,42,7,602500,1,4,2,10/1/53,10/1/48,2
1,0,3.17,0,,66.71,16.0 MLOZ,PISTACHIO PISTACHIO,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,5848,13,135,50313,1,7,3,,1/1/49,2
1,0,3.89,0,,104.89,16.0 MLOZ,CHERRY GRCA,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,5848,13,135,50313,1,7,3,,1/1/49,2
1,0,3.33,0,,74.51,16.0 MLOZ,CHERRY GRCA,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,5848,13,135,50313,1,7,3,,1/1/49,2
1,0,2.99,0,,66.71,16.0 MLOZ,CHERRY GRCA,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,5848,13,135,50313,1,7,3,,1/1/49,2
1,0,2.99,0,,84.61,16.0 MLOZ,CHERRY GRCA,REGULAR,2003419,1,28,0,8,9,3,0,6,0,4,2,,7,1,2,3,14,5848,13,135,50313,1,7,3,,1/1/49,2
2,5,0,0,1,34.57,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,226,48,29,121109,1,7,3,10/1/29,10/1/28,1
1,0,2.84,0,,21.08,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,226,48,29,121109,1,7,3,10/1/29,10/1/28,1
2,0,5,0,,32.76,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,226,48,29,121109,1,7,3,10/1/29,10/1/28,1
1,0,2.84,0,,41.01,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,226,48,29,121109,1,7,3,10/1/29,10/1/28,1
4,8.96,0,0,1,55.9,16.0 MLOZ,TRIPLE CARAMEL CHUNK,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,226,48,29,121109,1,7,3,10/1/29,10/1/28,1
2,0,5,0,,31.53,16.0 MLOZ,CHERRY GRCA,REGULAR,2001777,2,23,9,9,9,9,9,4,4,1,12,12,1,1,2,3,51,226,48,29,121109,1,7,3,10/1/29,10/1/28,1
1,0,3,0,,54.16,16.0 MLOZ,CHC CHIP C-DH,REGULAR,2002422,2,18,0,8,2,3,0,4,0,3,3,,3,1,2,2,28,3499,29,187,950100,3,7,2,,10/1/49,1
1,0,3.13,0,,298.42,16.0 MLOZ,BROWNIE BATTER,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,3.17,0,0,1,312.45,16.0 MLOZ,ONE CSK BROWNIE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,0,3,0,,298.42,16.0 MLOZ,NEAPOLITAN DYNAMITE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,3.17,0,0,1,312.45,16.0 MLOZ,PHISH FOOD,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
1,0,3.21,0,,243.49,16.0 MLOZ,CHC FUDGE BROWNIE,REGULAR,2007964,4,18,6,7,9,3,1,3,3,1,2,3,1,1,2,3,42,2966,24,33,806900,1,7,3,1/1/59,10/1/57,1
